sweep,sensitivity,FAR,eligibility_variant,cohort_strategy,includes_25_day_rule,n_total,n_eligible,n_currently_eligible,n_selected_failing_current_eligibility,n_valid_MPC,n_zero_baseline,n_undefined_MPC,MPC_valid_fraction_of_selected,reference_offset_monthly,eligibility_fraction,eligibility_ci_lo,eligibility_ci_hi,n_observed_RTM,observed_RTM_fraction,observed_RTM_ci_lo,observed_RTM_ci_hi,MPC_median,MPC_ci_lo,MPC_ci_hi,median_sampled_monthly_frequency_eligible,median_effective_long_term_frequency_eligible,median_detector_specific_long_term_frequency_eligible,mean_baseline_frequency_eligible,mean_test_frequency_eligible,median_baseline_frequency_eligible,median_test_frequency_eligible,mean_baseline_excess_over_detector_long_term_eligible,mean_test_excess_over_detector_long_term_eligible,correction_strategy
FAR,1.0,0.7,25-day rule on latent true days,Reselected at each detector condition,True,100000,28005,28005,0,28005,0,0,1.0,0.0,0.28005,0.27727546497670286,0.28284143295152253,13319,0.47559364399214427,0.46974838242247796,0.48144560030580463,25.49019607843137,24.6376811594203,25.92592592592593,9.05816935918421,8.75,8.75,18.540046420282092,15.568779384633695,11.0,9.0,3.2196502608661155,0.24838322521771905,Expected monthly correction + oracle daily intervals
FAR,1.0,0.7,Monthly criteria without FAR correction,Reselected at each detector condition,False,100000,100000,100000,0,100000,0,0,1.0,21.0,1.0,0.999961586887417,1.0,26939,0.26939,0.2666492202990983,0.2721484965966874,0.0,-0.5464480874316946,0.0,3.400999935303484,2.8333333333333335,23.833333333333332,27.84893,27.7898,24.5,24.333333333333332,0.03034916666666667,-0.028780833333333335,Uncorrected observed counts; 25-day rule omitted
FAR,1.0,0.7,Exact oracle false-alarm removal,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,Exact oracle false-alarm removal
FAR,1.0,0.8,Primary monthly criteria,Reselected at each detector condition,False,100000,35321,35321,0,35321,0,0,1.0,0.0,0.35321,0.350253272896411,0.35617800442518127,18422,0.5215594122476713,0.5163478330248001,0.526766302442033,29.6969696969697,29.166666666666664,30.434782608695656,7.937736902545781,7.527777777777778,7.527777777777778,16.76509725092721,13.975019582307032,10.0,7.666666666666667,3.2549199563369604,0.46484228771678165,Expected monthly correction; 25-day rule omitted
FAR,1.0,0.8,Original 25-day rule retained,Reselected at each detector condition,True,100000,35309,35309,0,35309,0,0,1.0,0.0,0.35309,0.35013350601118226,0.356057780529557,18417,0.521595060749384,0.5163826078850317,0.526802815235856,29.6969696969697,29.166666666666664,30.434782608695656,7.937167841890243,7.527777777777778,7.527777777777778,16.766206916083718,13.975926817525277,10.0,7.666666666666667,3.2562574540328084,0.4659773554743676,Expected monthly correction + original daily rounding
FAR,1.0,0.8,25-day rule on observed days,Reselected at each detector condition,True,100000,35321,35321,0,35321,0,0,1.0,0.0,0.35321,0.350253272896411,0.35617800442518127,18422,0.5215594122476713,0.5163478330248001,0.526766302442033,29.6969696969697,29.166666666666664,30.434782608695656,7.937736902545781,7.527777777777778,7.527777777777778,16.76509725092721,13.975019582307032,10.0,7.666666666666667,3.2549199563369604,0.46484228771678165,Expected monthly correction + observed daily intervals
FAR,1.0,0.8,25-day rule on latent true days,Reselected at each detector condition,True,100000,27690,27690,0,27690,0,0,1.0,0.0,0.2769,0.2741352340129094,0.2796819059179252,13220,0.4774286746117732,0.4715490122182046,0.48331459881753097,25.92592592592592,25.33333333333333,26.66666666666667,9.089774218980953,8.805555555555555,8.805555555555555,18.762676056338027,15.688299024918743,11.5,9.0,3.3608864010272463,0.28650936960796114,Expected monthly correction + oracle daily intervals
FAR,1.0,0.8,Monthly criteria without FAR correction,Reselected at each detector condition,False,100000,100000,100000,0,100000,0,0,1.0,24.0,1.0,0.999961586887417,1.0,26981,0.26981,0.2670678526772026,0.2725698319515684,0.0,-0.4975124378109319,0.0,3.400999935303484,2.8333333333333335,26.833333333333332,30.850275,30.79146666666667,27.5,27.666666666666668,0.03169416666666666,-0.027114166666666665,Uncorrected observed counts; 25-day rule omitted
FAR,1.0,0.8,Exact oracle false-alarm removal,Reselected at each detector condition,False,100000,35393,35393,0,35393,0,0,1.0,0.0,0.35393,0.35097187849702915,0.356899343509681,13170,0.3721074788800045,0.3670858383049689,0.3771568786467143,14.28571428571429,13.333333333333341,14.814814814814813,8.752590654200395,8.416666666666666,8.416666666666666,15.965529907043766,14.567927744657608,8.5,8.0,1.3162489757861724,-0.0813531865999868,Exact oracle false-alarm removal
FAR,1.0,0.9,Primary monthly criteria,Reselected at each detector condition,False,100000,35224,35224,0,35224,0,0,1.0,0.0,0.35224,0.3492851630945293,0.3552061887485013,18731,0.5317681126504656,0.5265539395889938,0.5369753573341827,30.434782608695656,29.629629629629626,31.29770992366412,7.8539974461354545,7.444444444444445,7.444444444444445,16.886611401317285,13.966367628132335,10.0,7.666666666666667,3.4540859136447373,0.5338421404597875,Expected monthly correction; 25-day rule omitted
